stat,tx,sampling,measurement,value
coef.var,Ambient,Day 11,agr,0.251096499
coef.var1,Ambient,Day 22,agr,0.191228824
coef.var2,Drought,Day 11,agr,1.71033738
coef.var3,Drought,Day 22,agr,0.77716923
coef.var4,Wet,Day 11,agr,0.621058572
coef.var5,Wet,Day 22,agr,0.237461614
coef.var,Ambient,Day 11,anet,0.253266964
coef.var1,Ambient,Day 22,anet,0.19432553
coef.var2,Drought,Day 11,anet,6.927129163
coef.var3,Drought,Day 22,anet,0.621393357
coef.var4,Wet,Day 11,anet,0.419549738
coef.var5,Wet,Day 22,anet,0.457578266
coef.var,Ambient,Day 11,avgdiam,0.206222352
coef.var1,Ambient,Day 22,avgdiam,0.147767777
coef.var2,Drought,Day 11,avgdiam,0.079465522
coef.var3,Drought,Day 22,avgdiam,0.138357002
coef.var4,Wet,Day 11,avgdiam,0.129002499
coef.var5,Wet,Day 22,avgdiam,0.119056566
coef.var,Ambient,Day 11,cnode,0.204529866
coef.var1,Ambient,Day 22,cnode,0.213944725
coef.var2,Drought,Day 11,cnode,0.224906626
coef.var3,Drought,Day 22,cnode,0.305479282
coef.var4,Wet,Day 11,cnode,0.309874084
coef.var5,Wet,Day 22,cnode,0.331524841
coef.var,Ambient,Day 11,coarserootdiam,0.198943913
coef.var1,Ambient,Day 22,coarserootdiam,0.129292031
coef.var2,Drought,Day 11,coarserootdiam,0.199933829
coef.var3,Drought,Day 22,coarserootdiam,0.175315853
coef.var4,Wet,Day 11,coarserootdiam,0.190626192
coef.var5,Wet,Day 22,coarserootdiam,0.170146845
coef.var,Ambient,Day 11,cond,0.202859417
coef.var1,Ambient,Day 22,cond,0.258450674
coef.var2,Drought,Day 11,cond,0.399854336
coef.var3,Drought,Day 22,cond,0.69266295
coef.var4,Wet,Day 11,cond,0.173038841
coef.var5,Wet,Day 22,cond,0.357816786
coef.var,Ambient,Day 11,crossings,0.598988122
coef.var1,Ambient,Day 22,crossings,0.705468608
coef.var2,Drought,Day 11,crossings,1.880801682
coef.var3,Drought,Day 22,crossings,1.173012911
coef.var4,Wet,Day 11,crossings,1.014835165
coef.var5,Wet,Day 22,crossings,0.562971037
coef.var,Ambient,Day 11,dryleaf,0.288347506
coef.var1,Ambient,Day 22,dryleaf,0.206694081
coef.var2,Drought,Day 11,dryleaf,0.286578503
coef.var3,Drought,Day 22,dryleaf,0.347436149
coef.var4,Wet,Day 11,dryleaf,0.308292906
coef.var5,Wet,Day 22,dryleaf,0.419821689
coef.var,Ambient,Day 11,drysdling,0.165922685
coef.var1,Ambient,Day 22,drysdling,0.189574646
coef.var2,Drought,Day 11,drysdling,0.356522815
coef.var3,Drought,Day 22,drysdling,0.53840942
coef.var4,Wet,Day 11,drysdling,0.310577696
coef.var5,Wet,Day 22,drysdling,0.226069892
coef.var,Ambient,Day 11,fineroots,0.335924717
coef.var1,Ambient,Day 22,fineroots,0.169429561
coef.var2,Drought,Day 11,fineroots,1.613425145
coef.var3,Drought,Day 22,fineroots,0.634592101
coef.var4,Wet,Day 11,fineroots,0.610085329
coef.var5,Wet,Day 22,fineroots,0.210499451
coef.var,Ambient,Day 11,fivegwc,0.170795261
coef.var1,Ambient,Day 22,fivegwc,0.286252361
coef.var2,Drought,Day 11,fivegwc,0.531597688
coef.var3,Drought,Day 22,fivegwc,0.539755846
coef.var4,Wet,Day 11,fivegwc,0.178333114
coef.var5,Wet,Day 22,fivegwc,0.152793468
coef.var,Ambient,Day 11,forks,0.519105835
coef.var1,Ambient,Day 22,forks,0.450739248
coef.var2,Drought,Day 11,forks,1.522105255
coef.var3,Drought,Day 22,forks,1.038577328
coef.var4,Wet,Day 11,forks,0.506900633
coef.var5,Wet,Day 22,forks,0.319210839
coef.var,Ambient,Day 11,lflnth,0.134183276
coef.var1,Ambient,Day 22,lflnth,0.098453151
coef.var2,Drought,Day 11,lflnth,1.079972151
coef.var3,Drought,Day 22,lflnth,0.641945436
coef.var4,Wet,Day 11,lflnth,0.373817106
coef.var5,Wet,Day 22,lflnth,0.137200754
coef.var,Ambient,Day 11,lfwtr,0.279934272
coef.var1,Ambient,Day 22,lfwtr,0.149964115
coef.var2,Drought,Day 11,lfwtr,0.161891549
coef.var3,Drought,Day 22,lfwtr,0.530104538
coef.var4,Wet,Day 11,lfwtr,0.204859433
coef.var5,Wet,Day 22,lfwtr,0.220568585
coef.var,Ambient,Day 11,light,NA
coef.var1,Ambient,Day 22,light,0.213944725
coef.var2,Drought,Day 11,light,NA
coef.var3,Drought,Day 22,light,0.912473471
coef.var4,Wet,Day 11,light,NA
coef.var5,Wet,Day 22,light,0.331524841
coef.var,Ambient,Day 11,maxht,0.148001532
coef.var1,Ambient,Day 22,maxht,0.121196832
coef.var2,Drought,Day 11,maxht,0.430284326
coef.var3,Drought,Day 22,maxht,0.465601508
coef.var4,Wet,Day 11,maxht,0.363815461
coef.var5,Wet,Day 22,maxht,0.106596619
coef.var,Ambient,Day 11,rootshoot,0.19472901
coef.var1,Ambient,Day 22,rootshoot,0.197518314
coef.var2,Drought,Day 11,rootshoot,0.450553807
coef.var3,Drought,Day 22,rootshoot,0.411856511
coef.var4,Wet,Day 11,rootshoot,0.292019481
coef.var5,Wet,Day 22,rootshoot,0.16604261
coef.var,Ambient,Day 11,rootvol,0.174134664
coef.var1,Ambient,Day 22,rootvol,0.181145779
coef.var2,Drought,Day 11,rootvol,0.536105288
coef.var3,Drought,Day 22,rootvol,0.574736209
coef.var4,Wet,Day 11,rootvol,0.414199247
coef.var5,Wet,Day 22,rootvol,0.170202102
coef.var,Ambient,Day 11,rootwt,0.207421966
coef.var1,Ambient,Day 22,rootwt,0.179531604
coef.var2,Drought,Day 11,rootwt,0.605278759
coef.var3,Drought,Day 22,rootwt,0.652667234
coef.var4,Wet,Day 11,rootwt,0.446319261
coef.var5,Wet,Day 22,rootwt,0.207716259
coef.var,Ambient,Day 11,sdlingwtr,0.038023214
coef.var1,Ambient,Day 22,sdlingwtr,0.024338277
coef.var2,Drought,Day 11,sdlingwtr,0.046161883
coef.var3,Drought,Day 22,sdlingwtr,0.070971254
coef.var4,Wet,Day 11,sdlingwtr,0.035290297
coef.var5,Wet,Day 22,sdlingwtr,0.019261472
coef.var,Ambient,Day 11,sla,0.179274778
coef.var1,Ambient,Day 22,sla,0.20287782
coef.var2,Drought,Day 11,sla,0.346701079
coef.var3,Drought,Day 22,sla,0.368546969
coef.var4,Wet,Day 11,sla,0.286791409
coef.var5,Wet,Day 22,sla,0.289383818
coef.var,Ambient,Day 11,surfarea,0.16627302
coef.var1,Ambient,Day 22,surfarea,0.054238725
coef.var2,Drought,Day 11,surfarea,0.549953061
coef.var3,Drought,Day 22,surfarea,0.359208469
coef.var4,Wet,Day 11,surfarea,0.48152996
coef.var5,Wet,Day 22,surfarea,0.071980795
coef.var,Ambient,Day 11,taprootlnth,0.283176665
coef.var1,Ambient,Day 22,taprootlnth,0.127541807
coef.var2,Drought,Day 11,taprootlnth,0.472857096
coef.var3,Drought,Day 22,taprootlnth,0.394460357
coef.var4,Wet,Day 11,taprootlnth,0.472750955
coef.var5,Wet,Day 22,taprootlnth,0.142014586
coef.var,Ambient,Day 11,thorns,0.322748612
coef.var1,Ambient,Day 22,thorns,0.160077696
coef.var2,Drought,Day 11,thorns,1.290994449
coef.var3,Drought,Day 22,thorns,0.636983593
coef.var4,Wet,Day 11,thorns,1.054092553
coef.var5,Wet,Day 22,thorns,0.149071198
coef.var,Ambient,Day 11,tips,0.385663977
coef.var1,Ambient,Day 22,tips,0.358107164
coef.var2,Drought,Day 11,tips,0.867223603
coef.var3,Drought,Day 22,tips,0.57736003
coef.var4,Wet,Day 11,tips,0.561195219
coef.var5,Wet,Day 22,tips,0.198888319
coef.var,Ambient,Day 11,totlflts,0.27149479
coef.var1,Ambient,Day 22,totlflts,0.125903071
coef.var2,Drought,Day 11,totlflts,1.336637368
coef.var3,Drought,Day 22,totlflts,0.642637304
coef.var4,Wet,Day 11,totlflts,0.757306014
coef.var5,Wet,Day 22,totlflts,0.110220478
coef.var,Ambient,Day 11,totrootlnth,0.294724828
coef.var1,Ambient,Day 22,totrootlnth,0.236197761
coef.var2,Drought,Day 11,totrootlnth,0.589867636
coef.var3,Drought,Day 22,totrootlnth,0.524174064
coef.var4,Wet,Day 11,totrootlnth,0.563821988
coef.var5,Wet,Day 22,totrootlnth,0.180599844
coef.var,Ambient,Day 11,trans,0.211884059
coef.var1,Ambient,Day 22,trans,0.18562678
coef.var2,Drought,Day 11,trans,0.401146364
coef.var3,Drought,Day 22,trans,0.577256098
coef.var4,Wet,Day 11,trans,0.209487876
coef.var5,Wet,Day 22,trans,0.320599384
coef.var,Ambient,Day 11,truelvs,0.225876976
coef.var1,Ambient,Day 22,truelvs,0.132250807
coef.var2,Drought,Day 11,truelvs,1.355261854
coef.var3,Drought,Day 22,truelvs,0.606968483
coef.var4,Wet,Day 11,truelvs,0.7200823
coef.var5,Wet,Day 22,truelvs,0.1297978
coef.var,Ambient,Day 11,twentygwc,0.083008468
coef.var1,Ambient,Day 22,twentygwc,0.071087336
coef.var2,Drought,Day 11,twentygwc,0.060373909
coef.var3,Drought,Day 22,twentygwc,0.189834988
coef.var4,Wet,Day 11,twentygwc,0.050591743
coef.var5,Wet,Day 22,twentygwc,0.106478206
coef.var,Ambient,Day 11,wetsdling,0.140386974
coef.var1,Ambient,Day 22,wetsdling,0.149851281
coef.var2,Drought,Day 11,wetsdling,0.379066073
coef.var3,Drought,Day 22,wetsdling,0.467404996
coef.var4,Wet,Day 11,wetsdling,0.309062277
coef.var5,Wet,Day 22,wetsdling,0.202829
coef.var,Ambient,Day 11,wp,-0.172505954
coef.var1,Ambient,Day 22,wp,-0.131895572
coef.var2,Drought,Day 11,wp,-0.490215446
coef.var3,Drought,Day 22,wp,-0.144574003
coef.var4,Wet,Day 11,wp,-0.25581403
coef.var5,Wet,Day 22,wp,-0.268139928
